"soortgroep";"meetnet";"soort_nl";"soort_wet";"levensstadium";"2016";"2017";"2018";"2019"
"dagvlinders";"Argusvlinder";NA;"Pieris spec.";"imago";0;0;92;4
"dagvlinders";"Bruin dikkopje";"Argusvlinder";"Lasiommata megera";"imago";0;0;1;0
"dagvlinders";"Bruin dikkopje";"Atalanta";"Vanessa atalanta";"imago";0;11;2;2
"dagvlinders";"Bruin dikkopje";"Bont zandoogje";"Pararge aegeria";"imago";0;34;5;1
"dagvlinders";"Bruin dikkopje";"Boomblauwtje";"Celastrina argiolus";"imago";0;20;5;3
"dagvlinders";"Bruin dikkopje";"Boswitje";"Leptidea sinapis";"imago";0;30;22;0
"dagvlinders";"Bruin dikkopje";"Bruin blauwtje";"Aricia agestis";"imago";0;21;10;35
"dagvlinders";"Bruin dikkopje";"Bruin zandoogje";"Maniola jurtina";"imago";0;66;26;15
"dagvlinders";"Bruin dikkopje";"Citroenvlinder";"Gonepteryx rhamni";"imago";0;37;11;7
"dagvlinders";"Bruin dikkopje";"Dagpauwoog";"Aglais io";"imago";0;46;18;8
"dagvlinders";"Bruin dikkopje";"Distelvlinder";"Vanessa cardui";"imago";0;2;2;4
"dagvlinders";"Bruin dikkopje";"Dwergblauwtje";"Cupido minimus";"imago";0;90;44;63
"dagvlinders";"Bruin dikkopje";"Geelsprietdikkopje";"Thymelicus sylvestris";"imago";0;4;0;0
"dagvlinders";"Bruin dikkopje";"Gehakkelde aurelia";"Polygonia c-album";"imago";0;12;4;0
"dagvlinders";"Bruin dikkopje";"Groot dikkopje";"Ochlodes sylvanus";"imago";0;0;1;0
"dagvlinders";"Bruin dikkopje";"Groot koolwitje";"Pieris brassicae";"imago";0;22;21;13
"dagvlinders";"Bruin dikkopje";"Hooibeestje";"Coenonympha pamphilus";"imago";0;62;44;20
"dagvlinders";"Bruin dikkopje";"Icarusblauwtje";"Polyommatus icarus";"imago";0;312;143;123
"dagvlinders";"Bruin dikkopje";"Kaasjeskruiddikkopje";"Carcharodus alceae";"imago";0;1;6;4
"dagvlinders";"Bruin dikkopje";"Klaverblauwtje";"Cyaniris semiargus";"imago";0;23;15;0
"dagvlinders";"Bruin dikkopje";"Klein geaderd witje";"Pieris napi";"imago";0;16;4;4
"dagvlinders";"Bruin dikkopje";"Klein koolwitje";"Pieris rapae";"imago";0;71;44;15
"dagvlinders";"Bruin dikkopje";"Kleine vos";"Aglais urticae";"imago";0;4;1;0
"dagvlinders";"Bruin dikkopje";"Kleine vuurvlinder";"Lycaena phlaeas";"imago";0;11;2;4
"dagvlinders";"Bruin dikkopje";"Koevinkje";"Aphantopus hyperantus";"imago";0;22;0;0
"dagvlinders";"Bruin dikkopje";"Koninginnenpage";"Papilio machaon";"imago";0;5;9;1
"dagvlinders";"Bruin dikkopje";"Landkaartje";"Araschnia levana";"imago";0;9;3;1
"dagvlinders";"Bruin dikkopje";"Oranje luzernevlinder";"Colias croceus";"imago";0;9;0;23
"dagvlinders";"Bruin dikkopje";"Oranje zandoogje";"Pyronia tithonus";"imago";0;22;12;9
"dagvlinders";"Bruin dikkopje";"Oranjetipje";"Anthocharis cardamines";"imago";0;13;5;2
"dagvlinders";"Bruin dikkopje";"Zwartsprietdikkopje";"Thymelicus lineola";"imago";0;9;7;3
"dagvlinders";"Bruine eikenpage";"Atalanta";"Vanessa atalanta";"imago";0;0;20;46
"dagvlinders";"Bruine eikenpage";"Bont zandoogje";"Pararge aegeria";"imago";0;0;48;14
"dagvlinders";"Bruine eikenpage";"Boomblauwtje";"Celastrina argiolus";"imago";0;0;76;2
"dagvlinders";"Bruine eikenpage";"Bruin zandoogje";"Maniola jurtina";"imago";0;0;117;214
"dagvlinders";"Bruine eikenpage";"Citroenvlinder";"Gonepteryx rhamni";"imago";0;0;53;26
"dagvlinders";"Bruine eikenpage";"Dagpauwoog";"Aglais io";"imago";0;0;9;3
"dagvlinders";"Bruine eikenpage";"Distelvlinder";"Vanessa cardui";"imago";0;0;11;55
"dagvlinders";"Bruine eikenpage";"Eikenpage";"Favonius quercus";"imago";0;0;64;26
"dagvlinders";"Bruine eikenpage";"Gehakkelde aurelia";"Polygonia c-album";"imago";0;0;33;22
"dagvlinders";"Bruine eikenpage";"Groot dikkopje";"Ochlodes sylvanus";"imago";0;0;139;49
"dagvlinders";"Bruine eikenpage";"Groot koolwitje";"Pieris brassicae";"imago";0;0;24;15
"dagvlinders";"Bruine eikenpage";"Heideblauwtje";"Plebejus argus";"imago";0;0;2;0
"dagvlinders";"Bruine eikenpage";"Hooibeestje";"Coenonympha pamphilus";"imago";0;0;23;9
"dagvlinders";"Bruine eikenpage";"Icarusblauwtje";"Polyommatus icarus";"imago";0;0;10;0
"dagvlinders";"Bruine eikenpage";"Keizersmantel";"Argynnis paphia";"imago";0;0;0;2
"dagvlinders";"Bruine eikenpage";"Klein geaderd witje";"Pieris napi";"imago";0;0;40;23
"dagvlinders";"Bruine eikenpage";"Klein koolwitje";"Pieris rapae";"imago";0;0;35;60
"dagvlinders";"Bruine eikenpage";"Kleine ijsvogelvlinder";"Limenitis camilla";"imago";0;0;5;0
"dagvlinders";"Bruine eikenpage";"Kleine parelmoervlinder";"Issoria lathonia";"imago";0;0;8;45
"dagvlinders";"Bruine eikenpage";"Kleine vuurvlinder";"Lycaena phlaeas";"imago";0;0;9;16
"dagvlinders";"Bruine eikenpage";"Koevinkje";"Aphantopus hyperantus";"imago";0;0;75;7
"dagvlinders";"Bruine eikenpage";"Koninginnenpage";"Papilio machaon";"imago";0;0;0;4
"dagvlinders";"Bruine eikenpage";"Landkaartje";"Araschnia levana";"imago";0;0;27;7
"dagvlinders";"Bruine eikenpage";"Oranje zandoogje";"Pyronia tithonus";"imago";0;0;29;40
"dagvlinders";"Grote weerschijnvlinder";"Atalanta";"Vanessa atalanta";"imago";0;0;8;25
"dagvlinders";"Grote weerschijnvlinder";"Bont zandoogje";"Pararge aegeria";"imago";0;0;15;39
"dagvlinders";"Grote weerschijnvlinder";"Boomblauwtje";"Celastrina argiolus";"imago";0;0;10;1
"dagvlinders";"Grote weerschijnvlinder";"Boswitje";"Leptidea sinapis";"imago";0;0;0;0
"dagvlinders";"Grote weerschijnvlinder";"Bruin blauwtje";"Aricia agestis";"imago";0;0;2;3
"dagvlinders";"Grote weerschijnvlinder";"Bruin zandoogje";"Maniola jurtina";"imago";0;0;310;320
"dagvlinders";"Grote weerschijnvlinder";"Citroenvlinder";"Gonepteryx rhamni";"imago";0;0;12;18
"dagvlinders";"Grote weerschijnvlinder";"Dagpauwoog";"Aglais io";"imago";0;0;14;18
"dagvlinders";"Grote weerschijnvlinder";"Distelvlinder";"Vanessa cardui";"imago";0;0;0;8
"dagvlinders";"Grote weerschijnvlinder";"Eikenpage";"Favonius quercus";"imago";0;0;0;1
"dagvlinders";"Grote weerschijnvlinder";"Gehakkelde aurelia";"Polygonia c-album";"imago";0;0;19;17
"dagvlinders";"Grote weerschijnvlinder";"Groot dikkopje";"Ochlodes sylvanus";"imago";0;0;4;17
"dagvlinders";"Grote weerschijnvlinder";"Groot koolwitje";"Pieris brassicae";"imago";0;0;18;44
"dagvlinders";"Grote weerschijnvlinder";"Grote vos";"Nymphalis polychloros";"imago";0;0;0;0
"dagvlinders";"Grote weerschijnvlinder";"Hooibeestje";"Coenonympha pamphilus";"imago";0;0;0;10
"dagvlinders";"Grote weerschijnvlinder";"Icarusblauwtje";"Polyommatus icarus";"imago";0;0;7;0
"dagvlinders";"Grote weerschijnvlinder";"Iepenpage";"Satyrium w-album";"imago";0;0;2;0
"dagvlinders";"Grote weerschijnvlinder";"Keizersmantel";"Argynnis paphia";"imago";0;0;22;11
"dagvlinders";"Grote weerschijnvlinder";"Klein geaderd witje";"Pieris napi";"imago";0;0;28;8
"dagvlinders";"Grote weerschijnvlinder";"Klein koolwitje";"Pieris rapae";"imago";0;0;0;25
"dagvlinders";"Grote weerschijnvlinder";"Kleine ijsvogelvlinder";"Limenitis camilla";"imago";0;0;15;6
"dagvlinders";"Grote weerschijnvlinder";"Kleine parelmoervlinder";"Issoria lathonia";"imago";0;0;0;2
"dagvlinders";"Grote weerschijnvlinder";"Kleine vuurvlinder";"Lycaena phlaeas";"imago";0;0;0;5
"dagvlinders";"Grote weerschijnvlinder";"Koevinkje";"Aphantopus hyperantus";"imago";0;0;0;51
"dagvlinders";"Grote weerschijnvlinder";"Koninginnenpage";"Papilio machaon";"imago";0;0;6;0
"dagvlinders";"Grote weerschijnvlinder";"Landkaartje";"Araschnia levana";"imago";0;0;11;13
"dagvlinders";"Grote weerschijnvlinder";"Oranje zandoogje";"Pyronia tithonus";"imago";0;0;48;282
"dagvlinders";"Grote weerschijnvlinder";"Zwartsprietdikkopje";"Thymelicus lineola";"imago";0;0;0;4
"dagvlinders";"Grote weerschijnvlinder";NA;"Pieris spec.";"imago";0;0;0;19
"dagvlinders";"Heivlinder";"Atalanta";"Vanessa atalanta";"imago";12;0;4;27
"dagvlinders";"Heivlinder";"Bont zandoogje";"Pararge aegeria";"imago";21;0;3;1
"dagvlinders";"Heivlinder";"Boomblauwtje";"Celastrina argiolus";"imago";26;4;5;3
"dagvlinders";"Heivlinder";"Boswitje";"Leptidea sinapis";"imago";1;0;1;0
"dagvlinders";"Heivlinder";"Bruin blauwtje";"Aricia agestis";"imago";0;0;5;0
"dagvlinders";"Heivlinder";"Bruin zandoogje";"Maniola jurtina";"imago";9;8;32;0
"dagvlinders";"Heivlinder";"Citroenvlinder";"Gonepteryx rhamni";"imago";24;1;1;4
"dagvlinders";"Heivlinder";"Dagpauwoog";"Aglais io";"imago";5;0;0;0
"dagvlinders";"Heivlinder";"Distelvlinder";"Vanessa cardui";"imago";30;0;3;93
"dagvlinders";"Heivlinder";"Eikenpage";"Favonius quercus";"imago";0;1;0;0
"dagvlinders";"Heivlinder";"Gele luzernevlinder";"Colias hyale";"imago";0;0;0;1
"dagvlinders";"Heivlinder";"Gentiaanblauwtje";"Phengaris alcon";"imago";0;0;0;2
"dagvlinders";"Heivlinder";"Groot dikkopje";"Ochlodes sylvanus";"imago";2;0;0;0
"dagvlinders";"Heivlinder";"Groot koolwitje";"Pieris brassicae";"imago";0;1;23;4
"dagvlinders";"Heivlinder";"Heideblauwtje";"Plebejus argus";"imago";10;0;0;0
"dagvlinders";"Heivlinder";"Hooibeestje";"Coenonympha pamphilus";"imago";72;97;27;43
"dagvlinders";"Heivlinder";"Icarusblauwtje";"Polyommatus icarus";"imago";14;0;34;3
"dagvlinders";"Heivlinder";"Klein geaderd witje";"Pieris napi";"imago";3;0;0;1
"dagvlinders";"Heivlinder";"Klein koolwitje";"Pieris rapae";"imago";11;0;28;9
"dagvlinders";"Heivlinder";"Kleine parelmoervlinder";"Issoria lathonia";"imago";1;0;8;8
"dagvlinders";"Heivlinder";"Kleine vos";"Aglais urticae";"imago";3;0;0;0
"dagvlinders";"Heivlinder";"Kleine vuurvlinder";"Lycaena phlaeas";"imago";12;19;1;17
"dagvlinders";"Heivlinder";"Koevinkje";"Aphantopus hyperantus";"imago";2;0;0;0
"dagvlinders";"Heivlinder";"Kommavlinder";"Hesperia comma";"imago";1;0;0;0
"dagvlinders";"Heivlinder";"Koninginnenpage";"Papilio machaon";"imago";16;0;8;0
"dagvlinders";"Heivlinder";"Oranje zandoogje";"Pyronia tithonus";"imago";359;101;35;139
"dagvlinders";"Heivlinder";NA;"Pieris spec.";"imago";0;0;20;0
"dagvlinders";"Klaverblauwtje";"Atalanta";"Vanessa atalanta";"imago";0;0;4;1
"dagvlinders";"Klaverblauwtje";"Bont zandoogje";"Pararge aegeria";"imago";0;5;3;1
"dagvlinders";"Klaverblauwtje";"Boomblauwtje";"Celastrina argiolus";"imago";0;4;3;1
"dagvlinders";"Klaverblauwtje";"Boswitje";"Leptidea sinapis";"imago";0;5;21;0
"dagvlinders";"Klaverblauwtje";"Bruin blauwtje";"Aricia agestis";"imago";0;4;5;6
"dagvlinders";"Klaverblauwtje";"Bruin dikkopje";"Erynnis tages";"imago";0;7;44;29
"dagvlinders";"Klaverblauwtje";"Bruin zandoogje";"Maniola jurtina";"imago";0;9;25;20
"dagvlinders";"Klaverblauwtje";"Citroenvlinder";"Gonepteryx rhamni";"imago";0;4;9;4
"dagvlinders";"Klaverblauwtje";"Dagpauwoog";"Aglais io";"imago";0;5;17;3
"dagvlinders";"Klaverblauwtje";"Distelvlinder";"Vanessa cardui";"imago";0;3;0;2
"dagvlinders";"Klaverblauwtje";"Gehakkelde aurelia";"Polygonia c-album";"imago";0;0;2;1
"dagvlinders";"Klaverblauwtje";"Groot koolwitje";"Pieris brassicae";"imago";0;3;16;1
"dagvlinders";"Klaverblauwtje";"Hooibeestje";"Coenonympha pamphilus";"imago";0;6;26;33
"dagvlinders";"Klaverblauwtje";"Icarusblauwtje";"Polyommatus icarus";"imago";0;20;58;27
"dagvlinders";"Klaverblauwtje";"Kaasjeskruiddikkopje";"Carcharodus alceae";"imago";0;0;2;0
"dagvlinders";"Klaverblauwtje";"Klein geaderd witje";"Pieris napi";"imago";0;0;4;1
"dagvlinders";"Klaverblauwtje";"Klein koolwitje";"Pieris rapae";"imago";0;6;31;9
"dagvlinders";"Klaverblauwtje";"Kleine vos";"Aglais urticae";"imago";0;1;1;0
"dagvlinders";"Klaverblauwtje";"Kleine vuurvlinder";"Lycaena phlaeas";"imago";0;3;2;3
"dagvlinders";"Klaverblauwtje";"Koninginnenpage";"Papilio machaon";"imago";0;2;6;2
"dagvlinders";"Klaverblauwtje";"Landkaartje";"Araschnia levana";"imago";0;0;2;0
"dagvlinders";"Klaverblauwtje";"Oranje luzernevlinder";"Colias croceus";"imago";0;0;0;1
"dagvlinders";"Klaverblauwtje";"Oranje zandoogje";"Pyronia tithonus";"imago";0;2;14;19
"dagvlinders";"Klaverblauwtje";"Oranjetipje";"Anthocharis cardamines";"imago";0;0;5;2
"dagvlinders";"Klaverblauwtje";"Zwartsprietdikkopje";"Thymelicus lineola";"imago";0;0;6;6
"dagvlinders";"Kommavlinder";"Atalanta";"Vanessa atalanta";"imago";15;3;0;15
"dagvlinders";"Kommavlinder";"Bont zandoogje";"Pararge aegeria";"imago";2;11;3;0
"dagvlinders";"Kommavlinder";"Boomblauwtje";"Celastrina argiolus";"imago";8;5;7;0
"dagvlinders";"Kommavlinder";"Bruin blauwtje";"Aricia agestis";"imago";2;7;7;5
"dagvlinders";"Kommavlinder";"Bruin zandoogje";"Maniola jurtina";"imago";271;155;12;12
"dagvlinders";"Kommavlinder";"Citroenvlinder";"Gonepteryx rhamni";"imago";30;32;13;4
"dagvlinders";"Kommavlinder";"Dagpauwoog";"Aglais io";"imago";1;3;3;1
"dagvlinders";"Kommavlinder";"Distelvlinder";"Vanessa cardui";"imago";8;0;0;84
"dagvlinders";"Kommavlinder";"Geelsprietdikkopje";"Thymelicus sylvestris";"imago";1;0;0;0
"dagvlinders";"Kommavlinder";"Gehakkelde aurelia";"Polygonia c-album";"imago";0;2;3;2
"dagvlinders";"Kommavlinder";"Gele luzernevlinder";"Colias hyale";"imago";0;1;0;0
"dagvlinders";"Kommavlinder";"Groot koolwitje";"Pieris brassicae";"imago";3;1;11;6
"dagvlinders";"Kommavlinder";"Heideblauwtje";"Plebejus argus";"imago";4;15;3;1
"dagvlinders";"Kommavlinder";"Heivlinder";"Hipparchia semele";"imago";82;38;2;5
"dagvlinders";"Kommavlinder";"Hooibeestje";"Coenonympha pamphilus";"imago";460;481;49;208
"dagvlinders";"Kommavlinder";"Icarusblauwtje";"Polyommatus icarus";"imago";196;23;33;54
"dagvlinders";"Kommavlinder";"Keizersmantel";"Argynnis paphia";"imago";0;0;0;5
"dagvlinders";"Kommavlinder";"Klein geaderd witje";"Pieris napi";"imago";2;1;1;0
"dagvlinders";"Kommavlinder";"Klein koolwitje";"Pieris rapae";"imago";13;21;16;25
"dagvlinders";"Kommavlinder";"Kleine parelmoervlinder";"Issoria lathonia";"imago";25;24;8;71
"dagvlinders";"Kommavlinder";"Kleine vuurvlinder";"Lycaena phlaeas";"imago";24;81;9;57
"dagvlinders";"Kommavlinder";"Koninginnenpage";"Papilio machaon";"imago";0;0;10;0
"dagvlinders";"Kommavlinder";"Landkaartje";"Araschnia levana";"imago";0;1;1;0
"dagvlinders";"Kommavlinder";"Oranje luzernevlinder";"Colias croceus";"imago";0;0;0;2
"dagvlinders";"Kommavlinder";"Oranje zandoogje";"Pyronia tithonus";"imago";189;148;26;16
"dagvlinders";"Kommavlinder";"Zwartsprietdikkopje";"Thymelicus lineola";"imago";0;2;0;0
"dagvlinders";"Oranje zandoogje";"Argusvlinder";"Lasiommata megera";"imago";0;0;1;0
"dagvlinders";"Oranje zandoogje";"Atalanta";"Vanessa atalanta";"imago";0;23;16;79
"dagvlinders";"Oranje zandoogje";"Bont zandoogje";"Pararge aegeria";"imago";0;63;57;41
"dagvlinders";"Oranje zandoogje";"Boomblauwtje";"Celastrina argiolus";"imago";0;12;8;4
"dagvlinders";"Oranje zandoogje";"Bruin blauwtje";"Aricia agestis";"imago";0;3;73;6
"dagvlinders";"Oranje zandoogje";"Bruin zandoogje";"Maniola jurtina";"imago";0;298;627;556
"dagvlinders";"Oranje zandoogje";"Citroenvlinder";"Gonepteryx rhamni";"imago";0;36;57;27
"dagvlinders";"Oranje zandoogje";"Dagpauwoog";"Aglais io";"imago";0;16;14;15
