"soortgroep";"meetnet";"soort_nl";"soort_wet";"levensstadium";"2016";"2017";"2018";"2019"
"amfibieën";"Boomkikker";"Alpenwatersalamander";"Ichthyosaura alpestris";"larve";68;15;96;85
"amfibieën";"Boomkikker";"Bruine kikker";"Rana temporaria";"adult";0;4;0;0
"amfibieën";"Boomkikker";"Bruine kikker";"Rana temporaria";"larve";25;100;0;0
"amfibieën";"Boomkikker";"Bruine kikker";"Rana temporaria";"metamorf";0;0;110;0
"amfibieën";"Boomkikker";"Gewone pad";"Bufo bufo";"larve";0;0;64;0
"amfibieën";"Boomkikker";"Heikikker";"Rana arvalis";"larve";0;0;6;0
"amfibieën";"Boomkikker";"Kamsalamander";"Triturus cristatus";"adult";0;0;5;0
"amfibieën";"Boomkikker";"Kamsalamander";"Triturus cristatus";"larve";103;0;44;60
"amfibieën";"Boomkikker";"Kleine water/Vinpootsalamander";"Lissotriton spec.";"larve";0;0;103;66
"amfibieën";"Boomkikker";"Kleine watersalamander";"Lissotriton vulgaris";"adult";0;0;6;0
"amfibieën";"Boomkikker";"Kleine watersalamander";"Lissotriton vulgaris";"larve";362;46;35;68
"amfibieën";"Boomkikker";"Vinpootsalamander";"Lissotriton helveticus";"larve";30;0;31;0
"amfibieën";"Boomkikker";NA;"Pelophylax esculenta synklepton";"adult";0;0;1;0
"amfibieën";"Boomkikker";NA;"Pelophylax esculenta synklepton";"larve";0;0;728;34
"amfibieën";"Kamsalamander";"Alpenwatersalamander";"Ichthyosaura alpestris";"adult";0;668;1220;756
"amfibieën";"Kamsalamander";"Alpenwatersalamander";"Ichthyosaura alpestris";"juveniel";0;0;5;6
"amfibieën";"Kamsalamander";"Alpenwatersalamander";"Ichthyosaura alpestris";"larve";0;88;202;407
"amfibieën";"Kamsalamander";"Alpenwatersalamander";"Ichthyosaura alpestris";"metamorf";0;0;0;0
"amfibieën";"Kamsalamander";"Boomkikker";"Hyla arborea";"adult";0;0;0;35
"amfibieën";"Kamsalamander";"Boomkikker";"Hyla arborea";"larve";0;0;19;3209
"amfibieën";"Kamsalamander";"Boomkikker";"Hyla arborea";"metamorf";0;0;0;20
"amfibieën";"Kamsalamander";"Bruine kikker";"Rana temporaria";"adult";0;0;0;7
"amfibieën";"Kamsalamander";"Bruine kikker";"Rana temporaria";"juveniel";0;0;2;18
"amfibieën";"Kamsalamander";"Bruine kikker";"Rana temporaria";"larve";0;500;0;85
"amfibieën";"Kamsalamander";"Bruine kikker";"Rana temporaria";"metamorf";0;0;0;15
"amfibieën";"Kamsalamander";"Gewone pad";"Bufo bufo";"adult";0;9;0;8
"amfibieën";"Kamsalamander";"Gewone pad";"Bufo bufo";"juveniel";0;0;0;11
"amfibieën";"Kamsalamander";"Gewone pad";"Bufo bufo";"larve";0;2500;0;2264
"amfibieën";"Kamsalamander";"Kleine watersalamander";"Lissotriton vulgaris";"adult";0;305;927;277
"amfibieën";"Kamsalamander";"Kleine watersalamander";"Lissotriton vulgaris";"juveniel";0;0;18;0
"amfibieën";"Kamsalamander";"Kleine watersalamander";"Lissotriton vulgaris";"larve";0;57;333;629
"amfibieën";"Kamsalamander";"Kleine watersalamander";"Lissotriton vulgaris";"metamorf";0;0;0;0
"amfibieën";"Kamsalamander";"Meerkikker";"Pelophylax ridibundus";"larve";0;6;0;0
"amfibieën";"Kamsalamander";"Poelkikker";"Pelophylax lessonae";"adult";0;0;0;14
"amfibieën";"Kamsalamander";"Vinpootsalamander";"Lissotriton helveticus";"adult";0;36;161;69
"amfibieën";"Kamsalamander";"Vinpootsalamander";"Lissotriton helveticus";"juveniel";0;0;0;0
"amfibieën";"Kamsalamander";"Vinpootsalamander";"Lissotriton helveticus";"larve";0;0;0;0
"amfibieën";"Kamsalamander";NA;"Pelophylax esculenta synklepton";"adult";0;0;0;18
"amfibieën";"Kamsalamander";NA;"Pelophylax esculenta synklepton";"juveniel";0;0;0;1
"amfibieën";"Kamsalamander";NA;"Pelophylax esculenta synklepton";"larve";0;0;311;10
"amfibieën";"Kamsalamander";NA;"Pelophylax esculenta synklepton";"metamorf";0;0;0;0
"amfibieën";"Knoflookpad";"Alpenwatersalamander";"Ichthyosaura alpestris";"larve";0;0;0;72
"amfibieën";"Knoflookpad";"Boomkikker";"Hyla arborea";"adult";0;0;7;0
"amfibieën";"Knoflookpad";"Bruine kikker";"Rana temporaria";"adult";0;0;3;0
"amfibieën";"Knoflookpad";"Gewone pad";"Bufo bufo";"adult";0;0;1;0
"amfibieën";"Knoflookpad";"Gewone pad";"Bufo bufo";"larve";0;0;0;26
"amfibieën";"Knoflookpad";"Heikikker";"Rana arvalis";"adult";0;250;21;0
"amfibieën";"Knoflookpad";"Kamsalamander";"Triturus cristatus";"larve";0;0;0;5
"amfibieën";"Knoflookpad";"Kleine watersalamander";"Lissotriton vulgaris";"larve";0;0;0;23
"amfibieën";"Knoflookpad";"Poelkikker";"Pelophylax lessonae";"adult";0;0;50;0
"amfibieën";"Knoflookpad";"Rugstreeppad";"Bufo calamita";"adult";0;0;3;0
"amfibieën";"Rugstreeppad";"Boomkikker";"Hyla arborea";"adult";0;0;0;4
"amfibieën";"Rugstreeppad";"Bruine kikker";"Rana temporaria";"adult";0;0;2;7
"amfibieën";"Rugstreeppad";"Gewone pad";"Bufo bufo";"adult";0;0;1;28
"amfibieën";"Rugstreeppad";"Gewone pad";"Bufo bufo";"juveniel";0;0;0;2
"amfibieën";"Rugstreeppad";"Gewone pad";"Bufo bufo";"larve";0;0;0;3503
"amfibieën";"Rugstreeppad";"Heikikker";"Rana arvalis";"adult";0;0;0;47
"amfibieën";"Rugstreeppad";"Kleine water/Vinpootsalamander";"Lissotriton spec.";"adult";0;0;0;1
"amfibieën";"Rugstreeppad";"Kleine watersalamander";"Lissotriton vulgaris";"adult";0;0;0;1
"amfibieën";"Rugstreeppad";"Meerkikker";"Pelophylax ridibundus";"adult";0;0;2;0
"amfibieën";"Rugstreeppad";NA;"Pelophylax esculenta synklepton";"adult";0;0;7;3
"dagvlinders";"Aardbeivlinder";"Bont dikkopje";"Carterocephalus palaemon";"imago";0;0;2;1
"dagvlinders";"Aardbeivlinder";"Bont zandoogje";"Pararge aegeria";"imago";0;0;2;0
"dagvlinders";"Aardbeivlinder";"Boomblauwtje";"Celastrina argiolus";"imago";0;0;1;0
"dagvlinders";"Aardbeivlinder";"Citroenvlinder";"Gonepteryx rhamni";"imago";0;0;20;7
"dagvlinders";"Aardbeivlinder";"Groot koolwitje";"Pieris brassicae";"imago";0;0;2;0
"dagvlinders";"Aardbeivlinder";"Hooibeestje";"Coenonympha pamphilus";"imago";0;0;23;34
"dagvlinders";"Aardbeivlinder";"Icarusblauwtje";"Polyommatus icarus";"imago";0;0;1;4
"dagvlinders";"Aardbeivlinder";"Klein geaderd witje";"Pieris napi";"imago";0;0;5;1
"dagvlinders";"Aardbeivlinder";"Klein koolwitje";"Pieris rapae";"imago";0;0;2;0
"dagvlinders";"Aardbeivlinder";"Kleine vuurvlinder";"Lycaena phlaeas";"imago";0;0;5;4
"dagvlinders";"Aardbeivlinder";"Oranjetipje";"Anthocharis cardamines";"imago";0;0;1;0
"dagvlinders";"Argusvlinder";"Aardbeivlinder";"Pyrgus malvae";"imago";0;0;0;0
"dagvlinders";"Argusvlinder";"Atalanta";"Vanessa atalanta";"imago";230;47;11;110
"dagvlinders";"Argusvlinder";"Bont dikkopje";"Carterocephalus palaemon";"imago";0;0;0;0
"dagvlinders";"Argusvlinder";"Bont zandoogje";"Pararge aegeria";"imago";59;42;11;35
"dagvlinders";"Argusvlinder";"Boomblauwtje";"Celastrina argiolus";"imago";7;4;4;1
"dagvlinders";"Argusvlinder";"Bruin blauwtje";"Aricia agestis";"imago";73;64;115;184
"dagvlinders";"Argusvlinder";"Bruin dikkopje";"Erynnis tages";"imago";0;10;0;0
"dagvlinders";"Argusvlinder";"Bruin zandoogje";"Maniola jurtina";"imago";203;108;231;83
"dagvlinders";"Argusvlinder";"Citroenvlinder";"Gonepteryx rhamni";"imago";3;2;0;6
"dagvlinders";"Argusvlinder";"Dagpauwoog";"Aglais io";"imago";44;57;10;22
"dagvlinders";"Argusvlinder";"Distelvlinder";"Vanessa cardui";"imago";48;10;8;86
"dagvlinders";"Argusvlinder";"Geelsprietdikkopje";"Thymelicus sylvestris";"imago";0;1;0;0
"dagvlinders";"Argusvlinder";"Gehakkelde aurelia";"Polygonia c-album";"imago";4;2;4;2
"dagvlinders";"Argusvlinder";"Groot dikkopje";"Ochlodes sylvanus";"imago";1;4;14;0
"dagvlinders";"Argusvlinder";"Groot koolwitje";"Pieris brassicae";"imago";39;18;39;39
"dagvlinders";"Argusvlinder";"Heivlinder";"Hipparchia semele";"imago";0;0;11;0
"dagvlinders";"Argusvlinder";"Hooibeestje";"Coenonympha pamphilus";"imago";229;426;358;278
"dagvlinders";"Argusvlinder";"Icarusblauwtje";"Polyommatus icarus";"imago";209;509;404;155
"dagvlinders";"Argusvlinder";"Kaasjeskruiddikkopje";"Carcharodus alceae";"imago";0;2;0;0
"dagvlinders";"Argusvlinder";"Klaverblauwtje";"Cyaniris semiargus";"imago";0;6;0;0
"dagvlinders";"Argusvlinder";"Klein geaderd witje";"Pieris napi";"imago";120;88;76;38
"dagvlinders";"Argusvlinder";"Klein koolwitje";"Pieris rapae";"imago";267;125;171;364
"dagvlinders";"Argusvlinder";"Kleine parelmoervlinder";"Issoria lathonia";"imago";0;0;0;2
"dagvlinders";"Argusvlinder";"Kleine vos";"Aglais urticae";"imago";20;4;1;1
"dagvlinders";"Argusvlinder";"Kleine vuurvlinder";"Lycaena phlaeas";"imago";0;14;95;7
"dagvlinders";"Argusvlinder";"Koevinkje";"Aphantopus hyperantus";"imago";3;0;0;0
"dagvlinders";"Argusvlinder";"Kommavlinder";"Hesperia comma";"imago";0;0;0;2
"dagvlinders";"Argusvlinder";"Koninginnenpage";"Papilio machaon";"imago";1;2;3;8
"dagvlinders";"Argusvlinder";"Landkaartje";"Araschnia levana";"imago";27;12;7;3
"dagvlinders";"Argusvlinder";"Oranje luzernevlinder";"Colias croceus";"imago";2;3;3;38
"dagvlinders";"Argusvlinder";"Oranje zandoogje";"Pyronia tithonus";"imago";226;157;232;247
"dagvlinders";"Argusvlinder";"Zwartsprietdikkopje";"Thymelicus lineola";"imago";48;35;37;51
