"soortgroep";"meetnet";"soort_nl";"soort_wet";"levensstadium";"aantal";"2016";"2017";"2018";"2019"
"amfibieën";"Boomkikker";"Boomkikker";"Hyla arborea";"adult";"gemiddeld";17,6;19,1;22,7;18,5
"amfibieën";"Boomkikker";"Boomkikker";"Hyla arborea";"adult";"maximum";55;80;300;200
"amfibieën";"Boomkikker";"Boomkikker";"Hyla arborea";"adult";"totaal";1194;1544;2108;888
"amfibieën";"Boomkikker";"Boomkikker";"Hyla arborea";"larve";"gemiddeld";43,3;64,4;13,5;23,3
"amfibieën";"Boomkikker";"Boomkikker";"Hyla arborea";"larve";"maximum";469;322;77;118
"amfibieën";"Boomkikker";"Boomkikker";"Hyla arborea";"larve";"totaal";1647;1611;404;466
"amfibieën";"Boomkikker";"Boomkikker";"Hyla arborea";"metamorf";"gemiddeld";NA;NA;4,4;0
"amfibieën";"Boomkikker";"Boomkikker";"Hyla arborea";"metamorf";"maximum";NA;NA;45;0
"amfibieën";"Boomkikker";"Boomkikker";"Hyla arborea";"metamorf";"totaal";NA;NA;132;0
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"adult";"gemiddeld";NA;1,3;2,3;0,4
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"adult";"maximum";NA;13;35;13
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"adult";"totaal";NA;321;692;152
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"juveniel";"gemiddeld";NA;NA;0,3;0
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"juveniel";"maximum";NA;NA;9;0
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"juveniel";"totaal";NA;NA;25;0
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"larve";"gemiddeld";NA;0,8;6,5;3
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"larve";"maximum";NA;6;30;38
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"larve";"totaal";NA;13;181;134
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"metamorf";"gemiddeld";NA;NA;0;0,1
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"metamorf";"maximum";NA;NA;0;4
"amfibieën";"Kamsalamander";"Kamsalamander";"Triturus cristatus";"metamorf";"totaal";NA;NA;0;4
"amfibieën";"Knoflookpad";"Knoflookpad";"Pelobates fuscus";"adult";"gemiddeld";NA;0,7;1,7;1,1
"amfibieën";"Knoflookpad";"Knoflookpad";"Pelobates fuscus";"adult";"maximum";NA;2;8;10
"amfibieën";"Knoflookpad";"Knoflookpad";"Pelobates fuscus";"adult";"totaal";NA;8;25;24
"amfibieën";"Knoflookpad";"Knoflookpad";"Pelobates fuscus";"larve";"gemiddeld";NA;NA;NA;2
"amfibieën";"Knoflookpad";"Knoflookpad";"Pelobates fuscus";"larve";"maximum";NA;NA;NA;3
"amfibieën";"Knoflookpad";"Knoflookpad";"Pelobates fuscus";"larve";"totaal";NA;NA;NA;6
